x y z
-2.092 2.347 0.269
-2.092 2.551 0.261
-2.092 2.755 0.249
-2.092 2.959 0.232
-2.092 3.163 0.214
-2.092 3.367 0.196
-2.092 3.571 0.175
-2.092 3.776 0.150
-2.092 3.980 0.119
-2.092 4.184 0.083
-2.092 4.388 0.043
-2.092 4.592 0.001
-2.092 4.796 0.038
-2.092 5.000 0.075
-1.990 -5.000 1.737
-1.990 -4.796 1.676
-1.990 -4.592 1.615
-1.990 -4.388 1.552
-1.990 -4.184 1.488
-1.990 -3.980 1.423
-1.990 -3.776 1.356
-1.990 -3.571 1.288
-1.990 -3.367 1.218
-1.990 -3.163 1.145
-1.990 -2.959 1.071
-1.990 -2.755 0.994
-1.990 -2.551 0.913
-1.990 -2.347 0.827
-1.990 -2.143 0.736
-1.990 -1.939 0.645
-1.990 -1.735 0.555
-1.990 -1.531 0.467
-1.990 -1.327 0.380
-1.990 -1.122 0.294
-1.990 -0.918 0.210
-1.990 -0.714 0.128
-1.990 -0.510 0.047
-1.990 -0.306 0.015
-1.990 -0.102 0.050
-1.990 0.102 0.084
-1.990 0.306 0.117
-1.990 0.510 0.149
-1.990 0.714 0.178
-1.990 0.918 0.206
-1.990 1.122 0.230
-1.990 1.327 0.251
-1.990 1.531 0.268
-1.990 1.735 0.281
-1.990 1.939 0.289
-1.990 2.143 0.292
-1.990 2.347 0.289
-1.990 2.551 0.281
-1.990 2.755 0.268
-1.990 2.959 0.251
-1.990 3.163 0.236
-1.990 3.367 0.220
-1.990 3.571 0.200
-1.990 3.776 0.175
-1.990 3.980 0.144
-1.990 4.184 0.108
-1.990 4.388 0.066
-1.990 4.592 0.021
-1.990 4.796 0.021
-1.990 5.000 0.058
-1.888 -5.000 1.683
-1.888 -4.796 1.623
-1.888 -4.592 1.561
-1.888 -4.388 1.498
-1.888 -4.184 1.434
-1.888 -3.980 1.368
-1.888 -3.776 1.301
-1.888 -3.571 1.232
-1.888 -3.367 1.161
-1.888 -3.163 1.088
-1.888 -2.959 1.012
-1.888 -2.755 0.933
-1.888 -2.551 0.849
-1.888 -2.347 0.760
-1.888 -2.143 0.670
-1.888 -1.939 0.582
-1.888 -1.735 0.494
-1.888 -1.531 0.408
-1.888 -1.327 0.323
-1.888 -1.122 0.239
-1.888 -0.918 0.157
