x y z
-2.092 2.347 0.804
-2.092 2.551 0.872
-2.092 2.755 0.939
-2.092 2.959 1.004
-2.092 3.163 1.069
-2.092 3.367 1.133
-2.092 3.571 1.195
-2.092 3.776 1.256
-2.092 3.980 1.317
-2.092 4.184 1.376
-2.092 4.388 1.435
-2.092 4.592 1.493
-2.092 4.796 1.550
-2.092 5.000 1.607
-1.990 -5.000 0.175
-1.990 -4.796 0.149
-1.990 -4.592 0.122
-1.990 -4.388 0.097
-1.990 -4.184 0.072
-1.990 -3.980 0.047
-1.990 -3.776 0.024
-1.990 -3.571 0.001
-1.990 -3.367 0.020
-1.990 -3.163 0.039
-1.990 -2.959 0.058
-1.990 -2.755 0.075
-1.990 -2.551 0.091
-1.990 -2.347 0.106
-1.990 -2.143 0.118
-1.990 -1.939 0.128
-1.990 -1.735 0.135
-1.990 -1.531 0.139
-1.990 -1.327 0.139
-1.990 -1.122 0.135
-1.990 -0.918 0.126
-1.990 -0.714 0.111
-1.990 -0.510 0.089
-1.990 -0.306 0.059
-1.990 -0.102 0.021
-1.990 0.102 0.027
-1.990 0.306 0.082
-1.990 0.510 0.144
-1.990 0.714 0.209
-1.990 0.918 0.276
-1.990 1.122 0.345
-1.990 1.327 0.414
-1.990 1.531 0.484
-1.990 1.735 0.553
-1.990 1.939 0.622
-1.990 2.143 0.690
-1.990 2.347 0.758
-1.990 2.551 0.824
-1.990 2.755 0.889
-1.990 2.959 0.954
-1.990 3.163 1.017
-1.990 3.367 1.079
-1.990 3.571 1.139
-1.990 3.776 1.199
-1.990 3.980 1.258
-1.990 4.184 1.317
-1.990 4.388 1.374
-1.990 4.592 1.431
-1.990 4.796 1.487
-1.990 5.000 1.543
-1.888 -5.000 0.148
-1.888 -4.796 0.120
-1.888 -4.592 0.094
-1.888 -4.388 0.068
-1.888 -4.184 0.042
-1.888 -3.980 0.017
-1.888 -3.776 0.007
-1.888 -3.571 0.029
-1.888 -3.367 0.050
-1.888 -3.163 0.070
-1.888 -2.959 0.089
-1.888 -2.755 0.107
-1.888 -2.551 0.123
-1.888 -2.347 0.138
-1.888 -2.143 0.151
-1.888 -1.939 0.161
-1.888 -1.735 0.169
-1.888 -1.531 0.173
-1.888 -1.327 0.173
-1.888 -1.122 0.169
-1.888 -0.918 0.160
-1.888 -0.714 0.145
-1.888 -0.510 0.123
-1.888 -0.306 0.093
-1.888 -0.102 0.054
-1.888 0.102 0.008
-1.888 0.306 0.048
-1.888 0.510 0.109
-1.888 0.714 0.173
-1.888 0.918 0.240
-1.888 1.122 0.307
-1.888 1.327 0.375
-1.888 1.531 0.444
-1.888 1.735 0.512
-1.888 1.939 0.579
-1.888 2.143 0.646
-1.888 2.347 0.712
-1.888 2.551 0.776
-1.888 2.755 0.840
-1.888 2.959 0.903
-1.888 3.163 0.964
-1.888 3.367 1.025
-1.888 3.571 1.084
-1.888 3.776 1.143
-1.888 3.980 1.200
-1.888 4.184 1.257
-1.888 4.388 1.313
-1.888 4.592 1.369
-1.888 4.796 1.424
-1.888 5.000 1.479
-1.786 -5.000 0.124
-1.786 -4.796 0.096
-1.786 -4.592 0.068
-1.786 -4.388 0.041
-1.786 -4.184 0.015
-1.786 -3.980 0.010
-1.786 -3.776 0.033
-1.786 -3.571 0.055
-1.786 -3.367 0.077
-1.786 -3.163 0.097
-1.786 -2.959 0.117
-1.786 -2.755 0.136
-1.786 -2.551 0.153
-1.786 -2.347 0.168
-1.786 -2.143 0.182
-1.786 -1.939 0.193
-1.786 -1.735 0.201
-1.786 -1.531 0.206
-1.786 -1.327 0.207
-1.786 -1.122 0.203
-1.786 -0.918 0.194
-1.786 -0.714 0.179
-1.786 -0.510 0.156
-1.786 -0.306 0.126
-1.786 -0.102 0.088
-1.786 0.102 0.041
-1.786 0.306 0.013
-1.786 0.510 0.074
-1.786 0.714 0.137
-1.786 0.918 0.203
-1.786 1.122 0.270
-1.786 1.327 0.337
-1.786 1.531 0.404
-1.786 1.735 0.470
-1.786 1.939 0.536
-1.786 2.143 0.602
-1.786 2.347 0.666
-1.786 2.551 0.729
-1.786 2.755 0.791
-1.786 2.959 0.852
-1.786 3.163 0.912
-1.786 3.367 0.971
-1.786 3.571 1.029
-1.786 3.776 1.086
-1.786 3.980 1.142
-1.786 4.184 1.198
-1.786 4.388 1.253
-1.786 4.592 1.307
-1.786 4.796 1.361
-1.786 5.000 1.415
-1.684 -5.000 0.103
-1.684 -4.796 0.075
-1.684 -4.592 0.046
-1.684 -4.388 0.019
-1.684 -4.184 0.008
-1.684 -3.980 0.032
-1.684 -3.776 0.055
-1.684 -3.571 0.078
-1.684 -3.367 0.101
-1.684 -3.163 0.122
-1.684 -2.959 0.143
-1.684 -2.755 0.162
-1.684 -2.551 0.180
-1.684 -2.347 0.197
-1.684 -2.143 0.211
-1.684 -1.939 0.223
-1.684 -1.735 0.232
-1.684 -1.531 0.238
-1.684 -1.327 0.239
-1.684 -1.122 0.236
-1.684 -0.918 0.227
-1.684 -0.714 0.212
-1.684 -0.510 0.189
-1.684 -0.306 0.159
-1.684 -0.102 0.121
-1.684 0.102 0.074
-1.684 0.306 0.020
-1.684 0.510 0.039
-1.684 0.714 0.102
-1.684 0.918 0.167
-1.684 1.122 0.232
-1.684 1.327 0.298
-1.684 1.531 0.364
-1.684 1.735 0.429
-1.684 1.939 0.494
-1.684 2.143 0.557
-1.684 2.347 0.620
-1.684 2.551 0.682
-1.684 2.755 0.742
-1.684 2.959 0.802
-1.684 3.163 0.860
-1.684 3.367 0.917
-1.684 3.571 0.974
-1.684 3.776 1.029
-1.684 3.980 1.084
-1.684 4.184 1.139
-1.684 4.388 1.192
-1.684 4.592 1.246
-1.684 4.796 1.299
-1.684 5.000 1.352
-1.582 -5.000 0.088
-1.582 -4.796 0.058
-1.582 -4.592 0.029
-1.582 -4.388 0.000
-1.582 -4.184 0.025
-1.582 -3.980 0.050
-1.582 -3.776 0.074
-1.582 -3.571 0.098
-1.582 -3.367 0.121
-1.582 -3.163 0.143
-1.582 -2.959 0.165
-1.582 -2.755 0.185
-1.582 -2.551 0.204
-1.582 -2.347 0.222
-1.582 -2.143 0.237
-1.582 -1.939 0.251
-1.582 -1.735 0.261
-1.582 -1.531 0.268
-1.582 -1.327 0.270
-1.582 -1.122 0.268
-1.582 -0.918 0.260
-1.582 -0.714 0.245
-1.582 -0.510 0.222
-1.582 -0.306 0.192
-1.582 -0.102 0.153
-1.582 0.102 0.107
-1.582 0.306 0.053
-1.582 0.510 0.005
-1.582 0.714 0.067
-1.582 0.918 0.131
-1.582 1.122 0.195
-1.582 1.327 0.260
-1.582 1.531 0.325
-1.582 1.735 0.388
-1.582 1.939 0.451
-1.582 2.143 0.514
-1.582 2.347 0.575
-1.582 2.551 0.635
-1.582 2.755 0.694
-1.582 2.959 0.751
-1.582 3.163 0.808
-1.582 3.367 0.864
