x y u v
-0.184 -1.263 -1.240 -2.199
0.184 -1.263 -1.296 -2.615
0.553 -1.263 -1.259 -2.289
0.921 -1.263 -1.239 -1.290
1.289 -1.263 -1.246 0.367
1.658 -1.263 -1.245 2.745
2.026 -1.263 -1.246 5.800
2.395 -1.263 -1.279 9.551
2.763 -1.263 -1.328 13.982
3.132 -1.263 -1.380 18.946
3.500 -1.263 -1.435 24.154
-3.500 -0.421 -0.631 13.383
-3.132 -0.421 -0.575 10.806
-2.763 -0.421 -0.514 8.510
-2.395 -0.421 -0.447 6.418
-2.026 -0.421 -0.403 4.652
-1.658 -0.421 -0.392 3.160
-1.289 -0.421 -0.380 1.886
-0.921 -0.421 -0.397 0.853
-0.553 -0.421 -0.437 -0.055
-0.184 -0.421 -0.429 -0.679
0.184 -0.421 -0.460 -0.956
0.553 -0.421 -0.412 -1.128
0.921 -0.421 -0.397 -1.023
1.289 -0.421 -0.397 -0.708
1.658 -0.421 -0.410 -0.179
2.026 -0.421 -0.435 0.602
2.395 -0.421 -0.470 1.599
2.763 -0.421 -0.505 2.504
3.132 -0.421 -0.539 3.324
3.500 -0.421 -0.569 4.045
-3.500 0.421 0.574 -3.914
-3.132 0.421 0.534 -3.324
-2.763 0.421 0.497 -2.542
-2.395 0.421 0.466 -1.638
-2.026 0.421 0.441 -0.622
-1.658 0.421 0.422 0.247
-1.289 0.421 0.406 0.775
-0.921 0.421 0.394 1.045
-0.553 0.421 0.387 1.112
-0.184 0.421 0.388 1.001
0.184 0.421 0.389 0.774
0.553 0.421 0.367 0.004
0.921 0.421 0.369 -0.842
1.289 0.421 0.391 -1.872
1.658 0.421 0.415 -3.142
2.026 0.421 0.414 -4.651
2.395 0.421 0.441 -6.367
2.763 0.421 0.480 -8.403
3.132 0.421 0.523 -10.671
3.500 0.421 0.570 -13.271
-3.500 1.263 1.306 -21.699
-3.132 1.263 1.285 -17.881
-2.763 1.263 1.280 -13.728
-2.395 1.263 1.301 -9.577
-2.026 1.263 1.258 -5.765
-1.658 1.263 1.222 -2.716
-1.289 1.263 1.254 -0.413
-0.921 1.263 1.265 1.319
-0.553 1.263 1.254 2.277
-0.184 1.263 1.263 2.629
0.184 1.263 1.283 2.238
0.553 1.263 1.275 1.134
0.921 1.263 1.256 -0.514
1.289 1.263 1.275 -2.959
1.658 1.263 1.288 -6.103
2.026 1.263 1.257 -9.906
2.395 1.263 1.274 -14.364
2.763 1.263 1.318 -19.569
3.132 1.263 1.361 -25.458
3.500 1.263 1.411 -31.881
-3.500 2.105 2.229 -39.681
-3.132 2.105 2.157 -32.493
-2.763 2.105 2.110 -24.846
-2.395 2.105 2.099 -17.501
-2.026 2.105 2.117 -11.039
-1.658 2.105 2.143 -5.762
-1.289 2.105 2.094 -1.493
-0.921 2.105 2.123 1.551
-0.553 2.105 2.109 3.448
-0.184 2.105 2.101 4.229
0.184 2.105 2.107 3.873
0.553 2.105 2.112 2.345
0.921 2.105 2.128 -0.315
1.289 2.105 2.106 -4.141
1.658 2.105 2.083 -9.067
2.026 2.105 2.081 -15.114
2.395 2.105 2.107 -22.347
2.763 2.105 2.133 -30.745
3.132 2.105 2.187 -39.848
3.500 2.105 2.292 -49.218
-3.500 2.947 3.170 -57.078
-3.132 2.947 3.059 -46.908
-2.763 2.947 2.976 -35.951
-2.395 2.947 2.936 -25.461
-2.026 2.947 2.943 -16.235
-1.658 2.947 2.956 -8.615
-1.289 2.947 2.975 -2.686
-0.921 2.947 2.950 1.817
-0.553 2.947 2.946 4.633
-0.184 2.947 2.927 5.879
0.184 2.947 2.937 5.469
0.553 2.947 2.963 3.498
0.921 2.947 2.982 -0.025
1.289 2.947 2.942 -5.225
1.658 2.947 2.937 -11.955
2.026 2.947 2.938 -20.350
2.395 2.947 2.940 -30.318
2.763 2.947 2.966 -41.611
3.132 2.947 3.090 -53.135
3.500 2.947 3.291 -64.486
-3.500 3.789 4.139 -73.492
-3.132 3.789 3.970 -60.813
-2.763 3.789 3.846 -46.972
-2.395 3.789 3.785 -33.435
-2.026 3.789 3.785 -21.457
-1.658 3.789 3.783 -11.577
-1.289 3.789 3.804 -3.754
-0.921 3.789 3.768 2.061
-0.553 3.789 3.795 5.812
-0.184 3.789 3.769 7.479
