x y
5.505369e-01 8.321707e-01
4.594494e-01 8.856356e-01
3.635933e-01 9.290012e-01
2.633374e-01 9.621187e-01
1.625850e-01 9.840680e-01
6.523783e-02 9.952232e-01
-2.724940e-02 9.971352e-01
-1.150649e-01 9.909784e-01
-1.982105e-01 9.776453e-01
-2.770358e-01 9.582021e-01
-3.530514e-01 9.327959e-01
-4.283063e-01 9.006675e-01
-5.040328e-01 8.616856e-01
