x y
4.910414e-01 6.166258e-01
4.323145e-01 6.839772e-01
3.670605e-01 7.437447e-01
2.947615e-01 7.954133e-01
2.139213e-01 8.389356e-01
1.279792e-01 8.727237e-01
4.095398e-02 8.956223e-01
-4.420791e-02 9.073260e-01
-1.267583e-01 9.082285e-01
-2.078504e-01 8.995340e-01
-2.886547e-01 8.827223e-01
-3.705090e-01 8.587767e-01
-4.544185e-01 8.271997e-01
