x y u v
0.695 -0.189 0.324 0.613
0.821 -0.189 0.279 0.807
0.947 -0.189 0.220 0.998
1.074 -0.189 -1.023 1.344
1.200 -0.189 -1.301 1.474
-1.200 -0.063 0.763 -1.173
-1.074 -0.063 0.477 -1.061
-0.947 -0.063 0.063 -0.951
-0.821 -0.063 0.062 -0.813
-0.695 -0.063 -0.057 -0.689
-0.568 -0.063 -0.134 -0.564
-0.442 -0.063 -0.168 -0.440
-0.316 -0.063 -0.154 -0.317
-0.189 -0.063 -0.089 -0.197
-0.063 -0.063 0.025 -0.062
0.063 -0.063 0.106 -0.023
0.189 -0.063 0.202 0.018
0.316 -0.063 0.324 0.184
0.442 -0.063 0.347 0.394
0.568 -0.063 0.300 0.576
0.695 -0.063 0.230 0.722
0.821 -0.063 0.159 0.849
0.947 -0.063 0.092 0.981
1.074 -0.063 -0.686 1.145
1.200 -0.063 -0.949 1.267
-1.200 0.063 0.807 -1.246
-1.074 0.063 0.508 -1.100
-0.947 0.063 -0.062 -0.921
-0.821 0.063 -0.061 -0.778
-0.695 0.063 -0.067 -0.641
-0.568 0.063 -0.163 -0.495
-0.442 0.063 -0.219 -0.349
-0.316 0.063 -0.239 -0.197
-0.189 0.063 -0.225 -0.043
-0.063 0.063 -0.182 0.109
0.063 0.063 0.004 0.210
0.189 0.063 0.141 0.308
0.316 0.063 0.181 0.430
0.442 0.063 0.160 0.550
0.568 0.063 0.114 0.658
0.695 0.063 0.062 0.758
0.821 0.063 0.010 0.856
0.947 0.063 -0.043 0.966
1.074 0.063 -0.588 1.053
1.200 0.063 -0.828 1.163
-1.200 0.189 1.098 -1.405
-1.074 0.189 0.794 -1.236
-0.947 0.189 -0.183 -0.916
-0.821 0.189 -0.178 -0.766
-0.695 0.189 -0.170 -0.619
-0.568 0.189 -0.161 -0.476
-0.442 0.189 -0.177 -0.326
-0.316 0.189 -0.333 -0.107
-0.189 0.189 -0.412 0.102
-0.063 0.189 -0.329 0.259
0.063 0.189 -0.153 0.345
0.189 0.189 -0.011 0.406
0.316 0.189 0.062 0.481
0.442 0.189 0.054 0.581
0.568 0.189 -0.009 0.678
0.695 0.189 -0.113 0.768
0.821 0.189 -0.148 0.866
0.947 0.189 -0.182 0.971
1.074 0.189 -0.611 1.013
1.200 0.189 -0.822 1.106
-1.200 0.316 1.729 -1.728
-1.074 0.316 1.350 -1.516
-0.947 0.316 -0.288 -0.864
-0.821 0.316 -0.270 -0.699
-0.695 0.316 -0.251 -0.550
-0.568 0.316 -0.241 -0.430
-0.442 0.316 -0.407 -0.234
-0.316 0.316 -0.577 0.010
-0.189 0.316 -0.573 0.209
-0.063 0.316 -0.455 0.361
0.063 0.316 -0.302 0.454
0.189 0.316 -0.168 0.506
0.316 0.316 -0.105 0.567
0.442 0.316 -0.105 0.633
0.568 0.316 -0.169 0.705
0.695 0.316 -0.264 0.781
0.821 0.316 -0.310 0.880
0.947 0.316 -0.329 0.988
1.074 0.316 -0.702 0.989
1.200 0.316 -0.850 1.062
-1.200 0.442 2.136 -1.984
-1.074 0.442 1.576 -1.696
-0.947 0.442 1.015 -1.388
-0.821 0.442 -0.341 -0.633
-0.695 0.442 -0.346 -0.542
-0.568 0.442 -0.431 -0.426
-0.442 0.442 -0.687 -0.152
-0.316 0.442 -0.757 0.070
-0.189 0.442 -0.684 0.255
-0.063 0.442 -0.562 0.408
0.063 0.442 -0.432 0.509
0.189 0.442 -0.319 0.563
0.316 0.442 -0.270 0.615
0.442 0.442 -0.279 0.669
0.568 0.442 -0.339 0.733
0.695 0.442 -0.439 0.787
0.821 0.442 -0.471 0.892
0.947 0.442 -0.666 0.887
1.074 0.442 -0.776 0.945
1.200 0.442 -0.886 1.016
-1.200 0.568 2.171 -2.099
-1.074 0.568 1.464 -1.754
-0.947 0.568 0.781 -1.396
-0.821 0.568 -0.432 -0.624
-0.695 0.568 -0.484 -0.590
-0.568 0.568 -0.709 -0.389
-0.442 0.568 -0.856 -0.144
-0.316 0.568 -0.858 0.065
-0.189 0.568 -0.761 0.246
-0.063 0.568 -0.656 0.402
0.063 0.568 -0.549 0.502
0.189 0.568 -0.474 0.567
0.316 0.568 -0.435 0.612
0.442 0.568 -0.452 0.657
0.568 0.568 -0.511 0.705
0.695 0.568 -0.601 0.760
0.821 0.568 -0.601 0.868
0.947 0.568 -0.805 0.847
1.074 0.568 -0.899 0.909
1.200 0.568 -0.954 0.978
-1.200 0.695 1.968 -2.115
-1.074 0.695 1.215 -1.738
-0.947 0.695 0.524 -1.358
-0.821 0.695 -0.090 -0.999
-0.695 0.695 -0.618 -0.618
-0.568 0.695 -0.814 -0.419
-0.442 0.695 -0.906 -0.198
-0.316 0.695 -0.895 -0.003
-0.189 0.695 -0.825 0.175
-0.063 0.695 -0.756 0.324
0.063 0.695 -0.690 0.424
0.189 0.695 -0.664 0.501
0.316 0.695 -0.636 0.545
0.442 0.695 -0.662 0.588
0.568 0.695 -0.702 0.634
0.695 0.695 -0.731 0.727
0.821 0.695 -0.849 0.745
0.947 0.695 -0.923 0.798
1.074 0.695 -1.005 0.870
1.200 0.695 -1.088 0.966
-1.200 0.821 1.705 -2.069
-1.074 0.821 0.968 -1.686
-0.947 0.821 0.300 -1.317
-0.821 0.821 -0.221 -0.996
-0.695 0.821 -0.560 -0.726
-0.568 0.821 -0.742 -0.498
-0.442 0.821 -0.831 -0.295
-0.316 0.821 -0.854 -0.116
-0.189 0.821 -0.867 0.051
-0.063 0.821 -0.853 0.193
0.063 0.821 -0.849 0.299
0.189 0.821 -0.873 0.390
0.316 0.821 -0.873 0.451
0.442 0.821 -0.870 0.494
0.568 0.821 -0.870 0.602
0.695 0.821 -0.928 0.615
0.821 0.821 -0.980 0.680
0.947 0.821 -1.039 0.757
1.074 0.821 -1.089 0.840
1.200 0.821 -1.148 0.936
-1.200 0.947 1.429 -1.984
-1.074 0.947 0.730 -1.620
-0.947 0.947 0.183 -1.300
-0.821 0.947 -0.204 -1.029
-0.695 0.947 -0.445 -0.797
-0.568 0.947 -0.592 -0.597
-0.442 0.947 -0.683 -0.430
-0.316 0.947 -0.755 -0.252
-0.189 0.947 -0.824 -0.125
-0.063 0.947 -0.883 0.016
0.063 0.947 -0.931 0.128
0.189 0.947 -0.987 0.232
0.316 0.947 -0.999 0.332
0.442 0.947 -0.990 0.389
0.568 0.947 -1.010 0.458
0.695 0.947 -1.033 0.541
0.821 0.947 -1.048 0.612
0.947 0.947 -1.096 0.694
1.074 0.947 -1.155 0.796
1.200 0.947 -1.197 0.902
-1.200 1.074 1.150 -1.881
-1.074 1.074 0.591 -1.578
-0.947 1.074 0.191 -1.319
-0.821 1.074 -0.081 -1.101
-0.695 1.074 -0.262 -0.911
-0.568 1.074 -0.398 -0.745
-0.442 1.074 -0.490 -0.607
-0.316 1.074 -0.606 -0.461
-0.189 1.074 -0.742 -0.304
-0.063 1.074 -0.855 -0.165
0.063 1.074 -0.939 -0.045
0.189 1.074 -1.005 0.080
0.316 1.074 -1.029 0.198
0.442 1.074 -1.018 0.291
0.568 1.074 -1.011 0.362
0.695 1.074 -1.050 0.456
0.821 1.074 -1.069 0.549
0.947 1.074 -1.094 0.632
1.074 1.074 -1.148 0.729
1.200 1.074 -1.214 0.845
-1.200 1.200 0.994 -1.815
-1.074 1.200 0.588 -1.574
-0.947 1.200 0.306 -1.374
-0.821 1.200 0.110 -1.205
-0.695 1.200 -0.051 -1.049
-0.568 1.200 -0.174 -0.915
-0.442 1.200 -0.296 -0.781
-0.316 1.200 -0.467 -0.626
-0.189 1.200 -0.641 -0.463
-0.063 1.200 -0.777 -0.318
0.063 1.200 -0.879 -0.184
0.189 1.200 -0.950 -0.042
0.316 1.200 -0.980 0.090
0.442 1.200 -0.973 0.200
0.568 1.200 -0.956 0.282
0.695 1.200 -0.981 0.369
0.821 1.200 -1.034 0.481
0.947 1.200 -1.057 0.579
1.074 1.200 -1.092 0.673
1.200 1.200 -1.155 0.779
