x y u v
0.568 -0.189 -0.020 0.561
0.695 -0.189 -0.197 0.718
0.821 -0.189 -0.397 0.874
0.947 -0.189 -0.619 1.029
1.074 -0.189 -0.869 1.182
1.200 -0.189 -1.144 1.334
-1.200 -0.063 0.673 -1.133
-1.074 -0.063 0.407 -1.015
-0.947 -0.063 0.194 -0.908
-0.821 -0.063 0.032 -0.802
-0.695 -0.063 -0.079 -0.693
-0.568 -0.063 -0.140 -0.579
-0.442 -0.063 -0.156 -0.460
-0.316 -0.063 -0.132 -0.338
-0.189 -0.063 -0.081 -0.218
-0.063 -0.063 -0.026 -0.084
0.063 -0.063 0.058 0.080
0.189 -0.063 0.146 0.219
0.316 -0.063 0.193 0.335
0.442 -0.063 0.186 0.448
0.568 -0.063 0.127 0.562
0.695 -0.063 0.020 0.674
0.821 -0.063 -0.137 0.793
0.947 -0.063 -0.343 0.923
1.074 -0.063 -0.584 1.059
1.200 -0.063 -0.851 1.195
-1.200 0.063 0.764 -1.196
-1.074 0.063 0.487 -1.059
-0.947 0.063 0.260 -0.931
-0.821 0.063 0.085 -0.803
-0.695 0.063 -0.045 -0.673
-0.568 0.063 -0.136 -0.539
-0.442 0.063 -0.188 -0.398
-0.316 0.063 -0.205 -0.247
-0.189 0.063 -0.198 -0.089
-0.063 0.063 -0.160 0.069
0.063 0.063 -0.023 0.204
0.189 0.063 0.115 0.311
0.316 0.063 0.177 0.413
0.442 0.063 0.175 0.510
0.568 0.063 0.127 0.608
0.695 0.063 0.034 0.702
0.821 0.063 -0.102 0.794
0.947 0.063 -0.283 0.896
1.074 0.063 -0.504 1.007
1.200 0.063 -0.747 1.120
-1.200 0.189 1.048 -1.307
-1.074 0.189 0.766 -1.157
-0.947 0.189 0.518 -1.008
-0.821 0.189 0.314 -0.859
-0.695 0.189 0.137 -0.703
-0.568 0.189 -0.026 -0.537
-0.442 0.189 -0.185 -0.356
-0.316 0.189 -0.331 -0.160
-0.189 0.189 -0.387 0.028
-0.063 0.189 -0.288 0.190
0.063 0.189 -0.123 0.304
0.189 0.189 0.008 0.397
0.316 0.189 0.080 0.485
0.442 0.189 0.065 0.583
0.568 0.189 0.008 0.682
0.695 0.189 -0.084 0.771
0.821 0.189 -0.207 0.846
0.947 0.189 -0.364 0.920
1.074 0.189 -0.554 1.001
1.200 0.189 -0.756 1.082
-1.200 0.316 1.651 -1.575
-1.074 0.316 1.271 -1.379
-0.947 0.316 0.892 -1.175
-0.821 0.316 0.521 -0.956
-0.695 0.316 0.166 -0.727
-0.568 0.316 -0.173 -0.489
-0.442 0.316 -0.442 -0.263
-0.316 0.316 -0.575 -0.062
-0.189 0.316 -0.544 0.117
-0.063 0.316 -0.395 0.274
0.063 0.316 -0.251 0.389
0.189 0.316 -0.137 0.474
0.316 0.316 -0.083 0.561
0.442 0.316 -0.091 0.649
0.568 0.316 -0.150 0.738
0.695 0.316 -0.249 0.823
0.821 0.316 -0.368 0.888
0.947 0.316 -0.501 0.931
1.074 0.316 -0.647 0.972
1.200 0.316 -0.789 1.009
-1.200 0.442 2.091 -1.812
-1.074 0.442 1.519 -1.535
-0.947 0.442 0.943 -1.250
-0.821 0.442 0.379 -0.955
-0.695 0.442 -0.127 -0.662
-0.568 0.442 -0.503 -0.403
-0.442 0.442 -0.708 -0.189
-0.316 0.442 -0.751 0.002
-0.189 0.442 -0.651 0.171
-0.063 0.442 -0.504 0.319
0.063 0.442 -0.383 0.440
0.189 0.442 -0.284 0.523
0.316 0.442 -0.253 0.609
0.442 0.442 -0.263 0.687
0.568 0.442 -0.340 0.771
0.695 0.442 -0.440 0.841
0.821 0.442 -0.535 0.873
0.947 0.442 -0.620 0.884
1.074 0.442 -0.706 0.897
1.200 0.442 -0.805 0.917
-1.200 0.568 2.178 -1.950
-1.074 0.568 1.452 -1.609
-0.947 0.568 0.740 -1.265
-0.821 0.568 0.102 -0.923
-0.695 0.568 -0.425 -0.610
-0.568 0.568 -0.751 -0.360
-0.442 0.568 -0.893 -0.149
-0.316 0.568 -0.869 0.033
-0.189 0.568 -0.747 0.198
-0.063 0.568 -0.627 0.339
0.063 0.568 -0.529 0.456
0.189 0.568 -0.449 0.542
0.316 0.568 -0.427 0.617
0.442 0.568 -0.451 0.688
0.568 0.568 -0.512 0.748
0.695 0.568 -0.598 0.787
0.821 0.568 -0.677 0.809
0.947 0.568 -0.732 0.813
1.074 0.568 -0.787 0.821
1.200 0.568 -0.858 0.842
-1.200 0.695 1.991 -2.010
-1.074 0.695 1.209 -1.633
-0.947 0.695 0.493 -1.270
-0.821 0.695 -0.135 -0.931
-0.695 0.695 -0.574 -0.651
-0.568 0.695 -0.836 -0.408
-0.442 0.695 -0.939 -0.190
-0.316 0.695 -0.914 0.001
-0.189 0.695 -0.835 0.167
-0.063 0.695 -0.752 0.307
0.063 0.695 -0.694 0.422
0.189 0.695 -0.644 0.506
0.316 0.695 -0.610 0.568
0.442 0.695 -0.640 0.632
0.568 0.695 -0.668 0.671
0.695 0.695 -0.730 0.696
0.821 0.695 -0.797 0.709
0.947 0.695 -0.862 0.723
1.074 0.695 -0.920 0.738
1.200 0.695 -0.971 0.763
-1.200 0.821 1.721 -2.027
-1.074 0.821 0.954 -1.648
-0.947 0.821 0.265 -1.292
-0.821 0.821 -0.246 -1.001
-0.695 0.821 -0.586 -0.756
-0.568 0.821 -0.780 -0.532
-0.442 0.821 -0.853 -0.328
-0.316 0.821 -0.857 -0.138
-0.189 0.821 -0.843 0.025
-0.063 0.821 -0.825 0.173
0.063 0.821 -0.825 0.299
0.189 0.821 -0.819 0.394
0.316 0.821 -0.795 0.456
0.442 0.821 -0.798 0.503
0.568 0.821 -0.849 0.547
0.695 0.821 -0.881 0.579
0.821 0.821 -0.932 0.602
0.947 0.821 -0.987 0.619
1.074 0.821 -1.050 0.647
1.200 0.821 -1.114 0.682
-1.200 0.947 1.419 -2.031
-1.074 0.947 0.715 -1.670
-0.947 0.947 0.165 -1.363
-0.821 0.947 -0.227 -1.117
-0.695 0.947 -0.489 -0.902
-0.568 0.947 -0.636 -0.707
-0.442 0.947 -0.706 -0.522
-0.316 0.947 -0.744 -0.351
-0.189 0.947 -0.779 -0.186
-0.063 0.947 -0.824 -0.024
0.063 0.947 -0.886 0.118
0.189 0.947 -0.931 0.231
0.316 0.947 -0.954 0.312
0.442 0.947 -0.956 0.362
0.568 0.947 -1.009 0.415
0.695 0.947 -1.050 0.457
0.821 0.947 -1.075 0.494
0.947 0.947 -1.112 0.520
1.074 0.947 -1.156 0.546
1.200 0.947 -1.210 0.585
-1.200 1.074 1.154 -2.033
-1.074 1.074 0.583 -1.717
-0.947 1.074 0.159 -1.468
-0.821 1.074 -0.144 -1.257
-0.695 1.074 -0.346 -1.070
-0.568 1.074 -0.465 -0.900
-0.442 1.074 -0.540 -0.733
-0.316 1.074 -0.615 -0.565
-0.189 1.074 -0.691 -0.394
-0.063 1.074 -0.799 -0.218
0.063 1.074 -0.912 -0.058
0.189 1.074 -1.000 0.076
0.316 1.074 -1.057 0.176
0.442 1.074 -1.070 0.235
0.568 1.074 -1.102 0.281
0.695 1.074 -1.168 0.344
0.821 1.074 -1.192 0.390
0.947 1.074 -1.213 0.429
1.074 1.074 -1.247 0.460
1.200 1.074 -1.288 0.495
-1.200 1.200 0.977 -2.055
-1.074 1.200 0.535 -1.797
-0.947 1.200 0.210 -1.586
-0.821 1.200 -0.021 -1.402
-0.695 1.200 -0.171 -1.242
-0.568 1.200 -0.278 -1.088
-0.442 1.200 -0.376 -0.925
-0.316 1.200 -0.482 -0.754
-0.189 1.200 -0.601 -0.575
-0.063 1.200 -0.763 -0.386
0.063 1.200 -0.920 -0.215
0.189 1.200 -1.040 -0.068
0.316 1.200 -1.123 0.047
0.442 1.200 -1.154 0.121
0.568 1.200 -1.160 0.164
0.695 1.200 -1.210 0.229
0.821 1.200 -1.270 0.290
0.947 1.200 -1.295 0.340
1.074 1.200 -1.317 0.383
1.200 1.200 -1.351 0.420
