x y z
-1.673 0.939 0.529
-1.673 1.020 0.529
-1.673 1.102 0.529
-1.673 1.184 0.529
-1.673 1.265 0.528
-1.673 1.347 0.528
-1.673 1.429 0.528
-1.673 1.510 0.528
-1.673 1.592 0.528
-1.673 1.673 0.528
-1.673 1.755 0.528
-1.673 1.837 0.528
-1.673 1.918 0.528
-1.673 2.000 0.528
-1.592 -2.000 1.735
-1.592 -1.918 1.639
-1.592 -1.837 1.535
-1.592 -1.755 1.425
-1.592 -1.673 1.306
-1.592 -1.592 1.178
-1.592 -1.510 1.042
-1.592 -1.429 0.904
-1.592 -1.347 0.791
-1.592 -1.265 0.758
-1.592 -1.184 0.773
-1.592 -1.102 0.788
-1.592 -1.020 0.802
-1.592 -0.939 0.814
-1.592 -0.857 0.819
-1.592 -0.776 0.818
-1.592 -0.694 0.806
-1.592 -0.612 0.782
-1.592 -0.531 0.755
-1.592 -0.449 0.727
-1.592 -0.367 0.698
-1.592 -0.286 0.670
-1.592 -0.204 0.642
-1.592 -0.122 0.615
-1.592 -0.041 0.590
-1.592 0.041 0.568
-1.592 0.122 0.548
-1.592 0.204 0.531
-1.592 0.286 0.520
-1.592 0.367 0.513
-1.592 0.449 0.509
-1.592 0.531 0.507
-1.592 0.612 0.505
-1.592 0.694 0.504
-1.592 0.776 0.504
-1.592 0.857 0.503
-1.592 0.939 0.503
-1.592 1.020 0.503
-1.592 1.102 0.503
-1.592 1.184 0.503
-1.592 1.265 0.503
-1.592 1.347 0.503
-1.592 1.429 0.503
-1.592 1.510 0.502
-1.592 1.592 0.502
-1.592 1.673 0.502
-1.592 1.755 0.502
-1.592 1.837 0.502
-1.592 1.918 0.502
-1.592 2.000 0.502
-1.510 -2.000 1.658
-1.510 -1.918 1.556
-1.510 -1.837 1.447
-1.510 -1.755 1.330
-1.510 -1.673 1.203
-1.510 -1.592 1.065
-1.510 -1.510 0.919
-1.510 -1.429 0.780
-1.510 -1.347 0.697
-1.510 -1.265 0.698
-1.510 -1.184 0.714
-1.510 -1.102 0.730
-1.510 -1.020 0.746
-1.510 -0.939 0.762
-1.510 -0.857 0.771
-1.510 -0.776 0.774
-1.510 -0.694 0.762
-1.510 -0.612 0.738
-1.510 -0.531 0.711
-1.510 -0.449 0.683
-1.510 -0.367 0.655
-1.510 -0.286 0.627
-1.510 -0.204 0.600
-1.510 -0.122 0.574
-1.510 -0.041 0.550
-1.510 0.041 0.529
-1.510 0.122 0.511
-1.510 0.204 0.497
-1.510 0.286 0.489
-1.510 0.367 0.484
-1.510 0.449 0.481
-1.510 0.531 0.480
-1.510 0.612 0.479
-1.510 0.694 0.478
-1.510 0.776 0.478
-1.510 0.857 0.477
-1.510 0.939 0.477
-1.510 1.020 0.477
-1.510 1.102 0.477
-1.510 1.184 0.477
-1.510 1.265 0.477
-1.510 1.347 0.477
-1.510 1.429 0.477
-1.510 1.510 0.477
-1.510 1.592 0.477
-1.510 1.673 0.477
-1.510 1.755 0.477
-1.510 1.837 0.476
-1.510 1.918 0.476
-1.510 2.000 0.476
-1.429 -2.000 1.579
-1.429 -1.918 1.469
-1.429 -1.837 1.353
-1.429 -1.755 1.228
-1.429 -1.673 1.091
-1.429 -1.592 0.942
-1.429 -1.510 0.786
-1.429 -1.429 0.668
-1.429 -1.347 0.622
-1.429 -1.265 0.639
-1.429 -1.184 0.656
-1.429 -1.102 0.674
-1.429 -1.020 0.693
-1.429 -0.939 0.712
-1.429 -0.857 0.727
-1.429 -0.776 0.730
-1.429 -0.694 0.718
-1.429 -0.612 0.694
-1.429 -0.531 0.668
-1.429 -0.449 0.640
-1.429 -0.367 0.612
-1.429 -0.286 0.585
-1.429 -0.204 0.558
-1.429 -0.122 0.533
-1.429 -0.041 0.511
-1.429 0.041 0.491
-1.429 0.122 0.475
-1.429 0.204 0.466
-1.429 0.286 0.460
-1.429 0.367 0.457
-1.429 0.449 0.454
-1.429 0.531 0.453
-1.429 0.612 0.452
-1.429 0.694 0.452
-1.429 0.776 0.452
-1.429 0.857 0.451
-1.429 0.939 0.451
-1.429 1.020 0.451
-1.429 1.102 0.451
-1.429 1.184 0.451
-1.429 1.265 0.451
-1.429 1.347 0.451
-1.429 1.429 0.451
-1.429 1.510 0.451
-1.429 1.592 0.451
-1.429 1.673 0.451
-1.429 1.755 0.451
-1.429 1.837 0.451
-1.429 1.918 0.451
-1.429 2.000 0.451
-1.347 -2.000 1.500
-1.347 -1.918 1.381
-1.347 -1.837 1.254
-1.347 -1.755 1.118
-1.347 -1.673 0.969
-1.347 -1.592 0.804
-1.347 -1.510 0.659
-1.347 -1.429 0.572
-1.347 -1.347 0.563
-1.347 -1.265 0.581
-1.347 -1.184 0.599
-1.347 -1.102 0.619
-1.347 -1.020 0.641
-1.347 -0.939 0.665
-1.347 -0.857 0.683
-1.347 -0.776 0.686
-1.347 -0.694 0.674
-1.347 -0.612 0.651
-1.347 -0.531 0.624
-1.347 -0.449 0.597
-1.347 -0.367 0.569
-1.347 -0.286 0.542
-1.347 -0.204 0.517
-1.347 -0.122 0.493
-1.347 -0.041 0.472
-1.347 0.041 0.454
-1.347 0.122 0.443
-1.347 0.204 0.436
-1.347 0.286 0.432
-1.347 0.367 0.429
-1.347 0.449 0.428
-1.347 0.531 0.427
-1.347 0.612 0.426
-1.347 0.694 0.426
-1.347 0.776 0.426
-1.347 0.857 0.426
-1.347 0.939 0.425
-1.347 1.020 0.425
-1.347 1.102 0.425
-1.347 1.184 0.425
-1.347 1.265 0.425
-1.347 1.347 0.425
-1.347 1.429 0.425
-1.347 1.510 0.425
-1.347 1.592 0.425
-1.347 1.673 0.425
-1.347 1.755 0.425
-1.347 1.837 0.425
-1.347 1.918 0.425
-1.347 2.000 0.425
-1.265 -2.000 1.418
-1.265 -1.918 1.290
-1.265 -1.837 1.150
-1.265 -1.755 0.999
-1.265 -1.673 0.832
-1.265 -1.592 0.666
-1.265 -1.510 0.547
-1.265 -1.429 0.495
-1.265 -1.347 0.507
-1.265 -1.265 0.525
-1.265 -1.184 0.545
-1.265 -1.102 0.567
-1.265 -1.020 0.592
-1.265 -0.939 0.621
-1.265 -0.857 0.639
-1.265 -0.776 0.642
-1.265 -0.694 0.631
-1.265 -0.612 0.607
-1.265 -0.531 0.581
-1.265 -0.449 0.554
-1.265 -0.367 0.527
-1.265 -0.286 0.500
-1.265 -0.204 0.475
-1.265 -0.122 0.453
-1.265 -0.041 0.434
-1.265 0.041 0.420
-1.265 0.122 0.412
-1.265 0.204 0.407
-1.265 0.286 0.404
-1.265 0.367 0.402
-1.265 0.449 0.401
-1.265 0.531 0.401
-1.265 0.612 0.400
-1.265 0.694 0.400
-1.265 0.776 0.400
-1.265 0.857 0.400
-1.265 0.939 0.400
-1.265 1.020 0.400
-1.265 1.102 0.399
-1.265 1.184 0.399
-1.265 1.265 0.399
-1.265 1.347 0.399
-1.265 1.429 0.399
-1.265 1.510 0.399
-1.265 1.592 0.399
-1.265 1.673 0.399
-1.265 1.755 0.399
-1.265 1.837 0.399
-1.265 1.918 0.399
-1.265 2.000 0.399
-1.184 -2.000 1.334
-1.184 -1.918 1.195
-1.184 -1.837 1.040
-1.184 -1.755 0.868
-1.184 -1.673 0.685
-1.184 -1.592 0.541
-1.184 -1.510 0.454
-1.184 -1.429 0.437
-1.184 -1.347 0.453
-1.184 -1.265 0.471
-1.184 -1.184 0.492
-1.184 -1.102 0.516
-1.184 -1.020 0.546
-1.184 -0.939 0.577
-1.184 -0.857 0.595
-1.184 -0.776 0.599
-1.184 -0.694 0.587
-1.184 -0.612 0.563
-1.184 -0.531 0.537
-1.184 -0.449 0.511
-1.184 -0.367 0.484
-1.184 -0.286 0.459
-1.184 -0.204 0.435
-1.184 -0.122 0.414
-1.184 -0.041 0.398
-1.184 0.041 0.389
-1.184 0.122 0.383
-1.184 0.204 0.379
-1.184 0.286 0.377
-1.184 0.367 0.376
-1.184 0.449 0.375
-1.184 0.531 0.375
-1.184 0.612 0.374
-1.184 0.694 0.374
-1.184 0.776 0.374
-1.184 0.857 0.374
-1.184 0.939 0.374
-1.184 1.020 0.374
-1.184 1.102 0.374
-1.184 1.184 0.374
-1.184 1.265 0.374
-1.184 1.347 0.374
-1.184 1.429 0.373
-1.184 1.510 0.373
-1.184 1.592 0.373
-1.184 1.673 0.373
-1.184 1.755 0.373
-1.184 1.837 0.373
-1.184 1.918 0.373
-1.184 2.000 0.373
-1.102 -2.000 1.246
-1.102 -1.918 1.095
-1.102 -1.837 0.923
-1.102 -1.755 0.726
-1.102 -1.673 0.550
-1.102 -1.592 0.432
-1.102 -1.510 0.382
-1.102 -1.429 0.387
-1.102 -1.347 0.402
-1.102 -1.265 0.420
-1.102 -1.184 0.442
-1.102 -1.102 0.468
-1.102 -1.020 0.502
-1.102 -0.939 0.533
-1.102 -0.857 0.552
-1.102 -0.776 0.555
-1.102 -0.694 0.543
